"Year","Month","sex","race","age_x","obitos"
2011,1,"Female","Black",10,1
2011,1,"Female","Black",15,1
2011,1,"Female","Black",20,2
2011,1,"Female","Black",25,3
2011,1,"Female","Black",30,1
2011,1,"Female","Black",35,2
2011,1,"Female","Black",40,7
2011,1,"Female","Black",45,9
2011,1,"Female","Black",50,10
2011,1,"Female","Black",55,4
2011,1,"Female","Black",60,10
2011,1,"Female","Black",65,10
2011,1,"Female","Black",70,17
2011,1,"Female","Black",75,7
2011,1,"Female","Black",80,27
2011,1,"Male","Black",0,1
2011,1,"Male","Black",10,3
2011,1,"Male","Black",15,4
2011,1,"Male","Black",20,9
2011,1,"Male","Black",25,11
2011,1,"Male","Black",30,6
2011,1,"Male","Black",35,6
2011,1,"Male","Black",40,5
2011,1,"Male","Black",45,6
2011,1,"Male","Black",50,7
2011,1,"Male","Black",55,14
2011,1,"Male","Black",60,10
2011,1,"Male","Black",65,15
2011,1,"Male","Black",70,22
2011,1,"Male","Black",75,23
2011,1,"Male","Black",80,29
2011,1,"Female","Brown",0,51
2011,1,"Female","Brown",5,5
2011,1,"Female","Brown",10,4
2011,1,"Female","Brown",15,7
2011,1,"Female","Brown",20,10
2011,1,"Female","Brown",25,17
2011,1,"Female","Brown",30,9
2011,1,"Female","Brown",35,14
2011,1,"Female","Brown",40,18
2011,1,"Female","Brown",45,33
2011,1,"Female","Brown",50,32
2011,1,"Female","Brown",55,17
2011,1,"Female","Brown",60,47
2011,1,"Female","Brown",65,49
2011,1,"Female","Brown",70,77
2011,1,"Female","Brown",75,62
2011,1,"Female","Brown",80,177
2011,1,"Male","Brown",0,62
2011,1,"Male","Brown",5,2
2011,1,"Male","Brown",10,7
2011,1,"Male","Brown",15,29
2011,1,"Male","Brown",20,52
2011,1,"Male","Brown",25,52
2011,1,"Male","Brown",30,52
2011,1,"Male","Brown",35,46
2011,1,"Male","Brown",40,41
2011,1,"Male","Brown",45,43
2011,1,"Male","Brown",50,41
2011,1,"Male","Brown",55,51
2011,1,"Male","Brown",60,51
2011,1,"Male","Brown",65,80
2011,1,"Male","Brown",70,80
2011,1,"Male","Brown",75,75
2011,1,"Male","Brown",80,164
2011,1,"Female","Indigenous",55,1
2011,1,"Female","Indigenous",80,1
2011,1,"Male","Indigenous",0,2
2011,1,"Male","Indigenous",75,1
2011,1,"Male","Indigenous",80,1
2011,1,"Female","White",0,21
2011,1,"Female","White",5,4
2011,1,"Female","White",10,1
2011,1,"Female","White",15,3
2011,1,"Female","White",20,4
2011,1,"Female","White",25,2
2011,1,"Female","White",30,7
2011,1,"Female","White",35,6
2011,1,"Female","White",40,9
2011,1,"Female","White",45,6
2011,1,"Female","White",50,10
2011,1,"Female","White",55,11
2011,1,"Female","White",60,15
2011,1,"Female","White",65,25
2011,1,"Female","White",70,29
2011,1,"Female","White",75,33
2011,1,"Female","White",80,88
2011,1,"Male","White",0,11
2011,1,"Male","White",5,3
2011,1,"Male","White",10,3
2011,1,"Male","White",15,9
2011,1,"Male","White",20,6
2011,1,"Male","White",25,11
2011,1,"Male","White",30,13
2011,1,"Male","White",35,10
2011,1,"Male","White",40,12
2011,1,"Male","White",45,6
2011,1,"Male","White",50,11
2011,1,"Male","White",55,18
2011,1,"Male","White",60,20
2011,1,"Male","White",65,15
2011,1,"Male","White",70,32
2011,1,"Male","White",75,30
2011,1,"Male","White",80,79
2011,2,"Female","Asian",0,1
2011,2,"Female","Asian",25,1
2011,2,"Female","Asian",45,1
2011,2,"Female","Asian",50,1
2011,2,"Female","Asian",60,1
2011,2,"Female","Asian",70,1
2011,2,"Female","Asian",75,1
2011,2,"Female","Asian",80,3
2011,2,"Male","Asian",0,1
2011,2,"Male","Asian",45,1
2011,2,"Male","Asian",70,2
2011,2,"Male","Asian",75,1
2011,2,"Male","Asian",80,2
2011,2,"Female","Black",0,1
2011,2,"Female","Black",15,1
2011,2,"Female","Black",25,1
2011,2,"Female","Black",30,1
2011,2,"Female","Black",35,2
2011,2,"Female","Black",40,4
2011,2,"Female","Black",45,5
2011,2,"Female","Black",50,5
2011,2,"Female","Black",55,8
2011,2,"Female","Black",60,14
2011,2,"Female","Black",65,12
2011,2,"Female","Black",70,14
2011,2,"Female","Black",75,13
2011,2,"Female","Black",80,34
2011,2,"Male","Black",0,6
2011,2,"Male","Black",10,1
2011,2,"Male","Black",15,2
2011,2,"Male","Black",20,4
2011,2,"Male","Black",25,8
2011,2,"Male","Black",30,7
